,Title,ISBN,Author,Additional_Authors,My_Rating,Average_Rating,Publisher,Number_of_Pages,Year_Published,Original_Publication_Year,Date_Read,Exclusive_Shelf,Series_Info,is_series,book_age,have_read,length_category,Genre
11,Soylent Green,"=""""",Harry Harrison,,,3.71,,224.0,1973,1966.0,,to-read,Standalone,False,59.0,False,Medium,Unknown
12,A People’s History of the United States: 1492 - Present,"=""0060838655""",Howard Zinn,,4.0,4.08,Harper Perennial,729.0,1995,1980.0,,read,Standalone,False,45.0,True,Long,"nyt:paperback_nonfiction=2010-05-16, New York Times bestseller, History"
13,Database Design for Mere Mortals: A Hands-On Guide to Relational Database Design,"=""0201752840""",Michael J. Hernandez,,,3.92,Addison-Wesley Professional,611.0,2003,1996.0,,to-read,Standalone,False,29.0,False,Long,"Database design, Relational databases, Databases"
14,Clean Code: A Handbook of Agile Software Craftsmanship,"=""0132350882""",Robert C. Martin,,,4.37,Pearson,464.0,2008,2007.0,,to-read,Standalone,False,18.0,False,Long,"Agile software development, Reliability, Computer software"
15,Code Complete: A Practical Handbook of Software Construction,"=""0735619670""",Steve McConnell,,,4.3,Microsoft Press,914.0,2004,1993.0,,to-read,Standalone,False,32.0,False,Long,"Development, Programmeren (computers), Programmatuurtechniek"
16,Brave New World,"=""0060929871""",Aldous Huxley,,5.0,3.99,HarperPerennial / Perennial Classics,268.0,1998,1932.0,2021-12-17,read,Standalone,False,93.0,True,Medium,"Utopias, Brainwashing, Moral and ethical aspects of Science"
17,Midnight Rising: John Brown and the Raid That Sparked the Civil War,"=""080509153X""",Tony Horwitz,,4.0,4.0,Henry Holt and Co.,384.0,2011,2011.0,2021-12-17,read,Standalone,False,14.0,True,Long,"Biography, History, Abolitionists"
18,11/22/63,"=""1451627289""",Stephen        King,,,4.34,Scribner,849.0,2011,2011.0,,to-read,Standalone,False,14.0,False,Long,"Assassination, Time travel, Fiction"
19,Anthem,"=""0452281253""",Ayn Rand,Leonard Peikoff,,3.61,NAL,105.0,1999,1938.0,,to-read,Standalone,False,87.0,False,Short,"Fiction, Individuality, Time travel in fiction"
20,It Can't Happen Here,"=""045121658X""",Sinclair Lewis,,,3.79,Berkley,400.0,2005,1935.0,,to-read,Standalone,False,90.0,False,Long,"Anti-fascist movements, Presidents, Newspaper editors"
21,We,"=""0140185852""",Yevgeny Zamyatin,Clarence Brown,,3.88,Penguin Books,256.0,1993,1924.0,,to-read,Standalone,False,101.0,False,Medium,"Literature: Texts, Untranslated Fiction - General, Literature - Classics / Criticism"
22,Collapse: How Societies Choose to Fail or Succeed,"=""0143036556""",Jared Diamond,,,3.93,Penguin Books Ltd. (London),608.0,2005,2004.0,,to-read,Standalone,False,21.0,False,Long,"Sociology, Culturen, Environnement"
23,Gulliver’s Travels,"=""0141439491""",Jonathan Swift,"Louis Rhead, William Dean Howells, Robert DeMaria Jr., Joshua Shelton",,3.59,Penguin,306.0,2017,1726.0,2021-08-21,read,Standalone,False,299.0,True,Long,"YA, Young adult, Juvenile"
24,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"=""0061234001""",Steven D. Levitt,Stephen J. Dubner,,4.01,William Morrow,268.0,2006,2005.0,,to-read,Standalone,False,20.0,False,Medium,"Economics, Economics -- Psychological aspects, Economics -- Sociological aspects"
25,"Guns, Germs, and Steel: The Fates of Human Societies","=""0739467352""",Jared Diamond,,,4.04,W.W. Norton & Company,498.0,2005,1997.0,,to-read,Standalone,False,28.0,False,Long,"prize:pulitzer=1998, Ethnology, Criticism and interpretation"
26,Hyperion,"=""0553283685""",Dan Simmons,,,4.27,Bantam Doubleday Dell Publishing Group,500.0,1990,1989.0,,to-read," (Hyperion Cantos, #1)",False,36.0,False,Long,"American Science fiction, Hugo Award Winner, award:hugo_award=1990"
27,Dune,"=""""",Frank Herbert,,,4.28,Ace,658.0,2019,1965.0,2021-08-07,read," (Dune, #1)",False,60.0,True,Long,Unknown
28,Hiroshima,"=""0679721037""",John Hersey,,4.0,4.04,Vintage,152.0,1989,1946.0,2021-07-23,read,Standalone,False,79.0,True,Medium,"Kernwapens, World War, 1939-1945, Atomic bomb"
29,Digital Minimalism: Choosing a Focused Life in a Noisy World,"=""052553654X""",Cal Newport,,4.0,4.06,Portfolio,302.0,2019,2019.0,,read,Standalone,False,6.0,True,Long,"Information technology, Internet addiction, Technological innovations"
30,Seven Databases in Seven Weeks: A Guide to Modern Databases and the NoSQL Movement,"=""1934356921""",Eric     Redmond,Jim R. Wilson,,4.01,Pragmatic Bookshelf,354.0,2012,2012.0,,to-read,Standalone,False,13.0,False,Long,"NoSQL-Datenbanksystem, Open source software, Databases"
31,The Invisible Man,"=""0451528522""",H.G. Wells,"Daniel Philpott, Дмитро Паламарчук, Микола Іванов, Герберт Велз",3.0,3.63,New American Library/Penguin Books,192.0,2002,1897.0,2021-06-26,read,Standalone,False,128.0,True,Medium,"Ciencia-ficción, Classic Literature, Fiction"
32,The Lottery,"=""1563127873""",Shirley Jackson,,4.0,4.05,Perfection Learning,30.0,1990,1948.0,2021-06-26,read,Standalone,False,77.0,True,Short,"Horror stories, Rites and ceremonies, Fiction"
33,The Time Machine,"=""""",H.G. Wells,"Greg Bear, Carlo Pagetti",5.0,3.9,Signet Classics,118.0,2002,1895.0,2021-06-21,read,Standalone,False,130.0,True,Short,Unknown
